Protein %,Oil %,Seed Wt,Yield
40.18375,19.29625,18.99625,3408.108723
39.64625,19.33,18.6975,3405.785127
41.87875,18.9325,16.3175,3404.257992
39.03625,20.455,20.99875,3398.932867
40.81375,18.94875,19.14125,3394.524875
38.51875,21.64625,19.1525,3377.096214
34.7825,21.04125,17.475,3367.323975
39.26125,20.10875,18.555,3364.239577
38.25375,20.3825,19.06,3356.345782
40.095,19.88625,19.6775,3347.142446
39.2975,20.64125,17.15875,3338.540085
38.83,20.8375,16.85375,3334.845423
40.66875,19.795,17.54375,3324.737817
37.845,21.1825,16.54375,3321.031971
41.585,19.9575,17.6975,3309.013332
39.435,21.1625,18.21125,3300.661772
39.61375,20.56625,17.265,3298.724346
39.0075,20.42875,18.22125,3291.849709
42.07125,18.85875,19.52875,3256.981067
38.93,21.13,18.9625,3254.711154
40.2575,19.92875,16.61875,3254.504616
40.75625,19.41375,19.4,3244.308543
39.725,18.8225,20.75125,3242.928236
39.73875,20.00625,17.96375,3238.934165
42.01,19.635,18.8875,3216.227223
39.82125,18.56125,20.44,3212.490849
41.26375,19.3425,18.84125,3191.136643
41.21875,19.8575,16.42625,3189.519511
40.04375,20.6925,17.5675,3188.495181
39.4675,21.17125,19.26125,3179.07938
40.00125,19.925,18.35125,3174.625353
39.60875,20.855,16.87,3174.288532
40.31,19.835,16.75625,3170.687257
41.1075,18.65,19.5375,3159.916393
39.095,20.45125,17.45,3159.224341
39.81375,20.52125,18.19,3158.794276
38.615,22.1975,18.485,3141.759948
38.72,20.99,17.75125,3138.746168
36.92125,20.8575,18.29875,3121.926433
38.6775,21.355,17.56375,3078.955082
40.73625,19.71375,16.87125,3063.81999
37.84125,21.46625,16.83125,3053.678058
40.9325,19.47125,20.47125,3052.149748
41.4425,20.82125,17.325,3027.651576
41.86375,18.7275,20.03625,3024.468814
40.49875,20.56375,17.2975,2999.688907
41.3875,19.985,16.50625,2965.802638
40.74125,21.0575,17.05125,2943.556095
38.465,20.88,16.97625,2942.674739
38.6475,20.9075,18.15,2942.614424
39.86125,19.7275,17.1425,2925.677452
37.47375,20.6125,16.3025,2921.989128
41.14875,20.05625,16.23875,2902.303577
38.3,20.76125,16.2375,2875.390537
39.0575,20.975,16.19875,2838.480458
39.2275,20.145,15.8325,2823.534535
40.34125,20.4275,15.785,2801.092668
41.745,20.11125,15.7675,2747.95072
41.1425,19.14,15.72125,2722.382988
38.11625,21.385,15.68375,2707.502165
39.52,18.91125,15.595,2673.80959
38.4025,20.905,15.385,2609.377254
39.84875,20.3725,15.21,2592.776483
39.36375,20.36125,15.19375,2582.60683
38.59125,21.41375,14.88875,2464.836374
39.71375,19.9625,14.48125,2399.639651
40.3025,20.67375,13.79,2372.866634
39.5625,19.77625,13.70125,2095.655856
42.86375,17.71125,12.725,2016.388752
34.815,19.4525,10.1,1109.540337
