NRNP,RNP,NP,PP,P/N,Yield
3.4375,11.375,14.8125,38.4375,2.594936709,3212.490849
3.125,11.6875,14.8125,38.9,2.626160338,3584.430141
3.8125,11.125,14.9375,41.25,2.761506276,3416.478588
3.25,12.35,15.6,52.75,3.381410256,3867.679392
3.125,12.375,15.5,60.5625,3.907258065,4201.623561
3.5625,11.3125,14.875,43.75,2.941176471,3526.262207
3.25,12,15.25,42.3125,2.774590164,3611.804416
3,13.625,16.625,62.35,3.75037594,4348.261036
3.125,11.9,15.025,44.8125,2.982529118,3650.320973
3.5,12,15.5,44.75,2.887096774,3996.576939
2.875,14.1125,16.9875,64.625,3.804267844,4343.80888
3.0625,13.6375,16.7,54,3.233532934,3947.99086
2.9375,14.1875,17.125,70.625,4.124087591,4247.940001
3.1875,12.5125,15.7,45.875,2.921974522,3798.792793
3.5,12.125,15.625,48.3125,3.092,3631.020961
3.5,11.4625,14.9625,49.3125,3.295739348,3681.667508
3,12.125,15.125,50.125,3.314049587,3869.943104
3,12.375,15.375,56.5,3.674796748,4025.310154
3.25,12.875,16.125,52.8125,3.275193798,3918.877144
2.875,12.275,15.15,47.875,3.160066007,3760.522804
2.9375,12.125,15.0625,45,2.987551867,3699.080051
3,12.85,15.85,55.625,3.509463722,3907.777005
3,13.375,16.375,64.25,3.923664122,4250.498048
3.4375,12.1875,15.625,39.75,2.544,3819.446617
3,14,17,69.75,4.102941176,4343.89049
3.5625,11.8125,15.375,54.9375,3.573170732,3773.004453
3.5625,12.1875,15.75,50.35,3.196825397,3607.990374
